species,distribution
Hemidactylus parvimaculatus,"Sri Lanka, Reunion, Mauritius und Rodrigues,  Moheli (Comoro Islands), Maldives, Mascarene Islands, S/E India (Kerala, Odisha)

Type locality: Colombo, Ceylon [Sri Lanka].

Introduced to the USA (Louisiana: New Orleans)"
Hemitheconyx caudicinctus,"Cameroon, Nigeria, Senegal, Togo, Mali, Ivory Coast, Gambia, Benin, Burkina Faso, Niger, Ghana ?, Liberia ?, Guinea (Conakry), Sierra Leone ?

Type locality: Senegal."
Indotestudo elongata,"Nepal, Bangladesh, Bhutan, NE India (Assam, Jalpaiguri, East Bengal, and Singhbhum in Bihar), Myanmar (= Burma), Laos, Thailand (incl. Phuket), Cambodia, Vietnam, W Malaysia, S China (Yunnan)

Type locality: Arakan, Tenasserim, Myanmar (= Burma)."
Lacerta viridis,"Austria (Kärnten, Steiermark, Burgenland, Nieder-Österreich, Ober-Österreich), Poland, S Switzerland, E Germany (Danube river, Brandenburg etc.), Czech Republic (formerly Czechoslovakia), Balkan Peninsula incl. Slovenia, Croatia, islands Cres and Trstenik, Slovakia, Macedonia, Montenegro, NE Italy
Turkey (eastern coast of the Black Sea and central coast of Black Sea), European Turkey (including region of Marmara Sea), E Romania, E Bulgaria, NE Greece (incl. Samothraki), Moldova, Albania, SW Ukraine

guentherpetersi: Greece (Dirfis Mountains, Euboea Island)

infrapunctata: NE Turkey; Type locality: Küste E Esbiye, Prov. Giresun, Türkei;

meridionalis: NW Turkey, S Romania, Greece (incl. Corfu);
Type locality: restricted to Adapazarı, Turkey  by Mertens and Müller, 1940.

paphlagonica: CN Turkey; Type locality: Platanen-Auwald bei Kabala, SO Sinop, 50 m, Prov. Sinop, Türkei”

Type locality: Vienna, Austria"
Laudakia stellio,"Greece (incl. Lesbos, Paros, Antiparos, Despotiko, Kalymnos, Paxos, Corfu = Corfou, Chios, Samos, Agathonisi, Delos, Mikro Rhematiaris, Mykonos, Naxos, Rhineia, Tinos, Chalki, Kastelorizo, Kos, Leros, Nisyros, Patmos, Rhodos, Symi, Telendos, Tilos, Fourni, Ikaria, Thimena, Syrni, Karpathos, C Macedonia), Turkey

daani: Greece (Saloniki, islands in the Aegian Sea (Antiparos, Despotiko, Naxos, Paros, Samos, Thimena, Syrni, Chalki, Kalymnos, Kastelorizo, Kos, Leros, Nisyros, Rhodos, Symi, Telendos, Tilos, Lesbos, Chios, Fourni, Ikaria); Turkey (W and SW Turkey), Macedonia; Type locality: “Zw. Agh. Kirikos u. Evdilos, Ikaria, Region Samos, Griechenland [= between Agh. Kirikos and Evdilos, Ikaria, Samos Region, Greece.].”

stellio: Greece (Cyclades: Mikro Rhematiaris, Rhineia, Mykonos Islands, Delos, Paros, Antiparos, Naxos), Sporades, Rhodos, Ionian Islands: Korfu); Turkey (central, south and southeast Turkey); Jordan. Type locality: Delos, Aegypto, Africa. Restricted to Delos Island, Greece by MERTENS & MÜLLER 1928. Restricted to Nissí Dílos (= Delos island), Greece, by neotype designation. Type locality restricted by neotype (Crochet et al. 2006) to “Delos Island, Cyclades”.

Stellio cyprius: Type locality: “Asia. Ins. Cyprus.”
Stellio cordylina: Type locality: “Cyprus.”"
Lygodactylus picturatus,"coastal SE Kenya (Kilindini, Island Mombasa), NE Tanzania, Ethiopia, Kenya, Mozambique, Zimbabwe, Island Mafia, Somalia,  Zanzibar (Saranda/Dodoma District), (Killilindi/Mombasa Suranda/Ugogo), Zambia, Democratic Republic of Congo (Katanga = SE Zaire), S Sudan (Jumhūriyyat), Republic of South Sudan (RSS) (Abu Zor/Senaar), Eritrea, Ethiopia, Central African Republic, Burkina Faso, Senegal, Mali (likely; Joger & Lambert 1996), Gambia (Lygodactylus gutturalis, HÅKANSSON 1981)

S Cameroon (Foulassi), Guinea, Cameroon, Nigeria, Uganda, Rwanda ?, Burundi ?, Benin ?, Togo ?, Ghana ?, Ivory Coast ?, Liberia ?, Sierra Leone ?, Guinea-Bissau ?

sudanensis: Eritrea, Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Ethiopia; Type locality: “Abu Zor, Senaar, Anglo-Egyptian Sudan (Jumhūriyyat), Republic of South Sudan (RSS)”

Type locality: “Zanzibarküste” [Tanzania]

luteopicturatus: S Kenya, E Tanzania, Zanzibar Island; Type locality(luteopicturatus): Dar Es Salaam, Tanzania; Type locality (zanzibaritis): Zanzibar, Tanzania"
Pelusios castaneus,"Guinea (Conakry), Senegal, Mauritania ?, Nigeria, W Democratic Republic of the Congo (Zaire); Burkina Faso, Mali (?; Joger & Lambert 1996), Cameroon (?), Gabon (GRAMENTZ 1999), São Tomé (Gulf of Guinea, D. Hofer, pers. comm., 18 Apr 2013), Central African Republic, Gambia, Benin, Angola

Type locality: ""Patria ignota"" (unknown); neotype from “vicinity of Koutchatcha (7º20' N, 1º18' E), a village close to the Amou River (ca. 30 km East of Gléï), Ogou Prefecture, Plateaux Region, Togo”.

seychellensis: type locality in error, see comment."
Python breitensteini,"Indonesia (Borneo: Kalimantan), Malaysia (East Malaysia: Sabah, Sarawak)

Type locality: Teweh, Borneo."
Python curtus,"Indonesia (Sumatra, Bangka)

Type locality: Sumatra, Indonesia"
Terrapene ornata,"USA (Wisconsin, Illinois, W Indiana, Iowa, S South Dakota, SE Wyoming, Nebraska, Kansas, Oklahoma, SW Louisiana, Missouri, Arkansas, Texas, New Mexico, SE Arizona), Mexico (Chiapas, Sonora, Chihuahua)

ornata: USA (Arkansas, Colorado, Illinois, Indiana, Iowa, Kan-
sas, Louisiana, Missouri, Nebraska, New Mexico,Oklahoma, South Dakota, Texas, Wisconsin); Type locality: “From the Upper Missouri . . . and from Iowa” (see “Remarks”); ﬁ rst restricted to “Council Bluffs [Pottawattomie County], Iowa” by Smith and Taylor (1950b:36), later to “junction of the Platte and Missouri rivers” by Schmidt (1953:951), and ﬁnally to Burlington [Des Moines County], Iowa,” the locality of the lectotype, MCZ 1536, by Smith and Smith (1980:587). See Smith and Smith (1980) for a discussion of the history of the type locality designations  and earlier erroneous restrictions.

luteola: Mexico (Chihuahua, Coahuila, Sonora), USA (Arizona, New Mexico, Texas); Type locality: 17 miles south of Van Horn, Culberson County, Texas. This locality is most likely in the vicinity of the present-day farming community of Lobo on US Hwy 90, a few miles north of the Jeff Davis County line."
